Cell_ID,X,Y
1,1266,7
2,891,9
3,622,26
4,1984,27
5,1102,33
6,1522,38
7,862,43
8,859,53
9,942,54
10,578,68
11,1044,75
12,849,84
13,172,86
14,817,89
15,987,89
16,1094,90
17,1612,112
18,919,114
19,1126,116
20,1445,121
21,1069,124
22,1000,127
23,1393,128
24,2028,130
25,1028,147
26,1106,146
27,1338,148
28,1900,157
29,1168,161
30,779,166
31,1088,169
32,990,171
33,1516,176
34,1101,178
35,1257,188
36,1147,190
37,1285,197
38,1546,196
39,813,199
40,722,201
41,1141,203
42,1246,204
43,1418,206
44,1213,207
45,1701,207
46,947,209
47,1683,211
48,896,218
49,779,219
50,1009,221
51,907,225
52,1109,231
53,1141,234
54,1080,240
55,1227,242
56,835,255
57,1246,262
58,800,263
59,1564,274
60,1027,277
61,568,284
62,594,289
63,1431,293
64,571,297
65,1234,313
66,1368,314
67,516,318
68,465,320
69,1687,322
70,475,328
71,1471,326
72,44,331
73,583,334
74,1410,338
75,1491,340
76,774,341
77,892,342
78,739,348
79,1511,348
80,1239,352
81,1616,354
82,69,356
83,102,360
84,634,368
85,244,368
86,66,369
87,669,372
88,391,374
89,66,377
90,1381,375
91,894,377
92,89,380
93,525,385
94,556,383
95,364,386
96,593,386
97,477,390
98,620,392
99,496,392
100,78,395
101,1305,395
102,1591,395
103,423,397
104,1060,396
105,1700,396
106,587,401
107,789,404
108,631,405
109,803,406
110,1144,411
111,1007,413
112,776,414
113,8,424
114,182,415
115,1504,417
116,124,418
117,50,420
118,745,420
119,698,422
120,390,423
121,1104,424
122,101,425
123,117,428
124,1250,427
125,1560,430
126,143,432
127,1685,435
128,764,436
129,1312,436
130,45,439
131,578,442
132,801,442
133,909,441
134,1262,443
135,1695,442
136,78,441
137,1231,445
138,101,446
139,123,446
140,888,447
141,513,447
142,599,448
143,1786,450
144,494,453
145,537,454
146,403,456
147,33,457
148,80,458
149,801,461
150,133,462
151,786,462
152,960,464
153,1373,464
154,1421,465
155,1505,466
156,606,467
157,2021,467
158,325,470
159,1149,469
160,1494,469
161,1645,470
162,472,471
163,634,472
164,843,476
165,1603,478
166,70,480
167,813,479
168,1227,480
169,511,482
170,1443,482
171,1526,482
172,39,483
173,633,483
174,1433,491
175,762,493
